route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10,0,100005010,館林,,0,100005010,,,
10,0,100005030,館林,,0,100005030,,,
10,0,100006010,南栗橋,,0,100006010,,,
10,0,100007010,東武動物公園,,0,,,,
10,0,100008010,北千住,,0,,,,
10,0,100008030,北千住,,0,,,,
10,0,100008050,北千住,,0,,,,
10,0,100008070,北千住,,0,,,,
10,0,100008090,北千住,,0,,,,
10,0,100008110,北千住,,0,,,,
10,0,100008130,北千住,,0,,,,
10,0,100008150,北千住,,0,,,,
10,0,100008170,北千住,,0,,,,
10,0,100008190,北千住,,0,,,,
10,0,100008210,北千住,,0,,,,
10,0,100008230,北千住,,0,,,,
10,0,100008250,北千住,,0,,,,
10,0,100008270,北千住,,0,,,,
10,0,100008290,北千住,,0,,,,
10,0,100008310,北千住,,0,,,,
10,0,100008330,北千住,,0,,,,
10,0,100008350,北千住,,0,,,,
10,0,100008370,北千住,,0,,,,
10,0,100008390,北千住,,0,,,,
10,0,100008410,北千住,,0,,,,
10,0,100008430,北千住,,0,,,,
10,0,100008450,北千住,,0,,,,
10,0,100008470,北千住,,0,,,,
10,0,100008490,北千住,,0,,,,
10,0,100008510,北千住,,0,,,,
10,0,100008530,北千住,,0,,,,
10,0,100008550,北千住,,0,,,,
10,0,100008570,北千住,,0,,,,
10,0,100008590,北千住,,0,,,,
10,0,100008610,北千住,,0,,,,
10,0,100008630,北千住,,0,,,,
10,0,100008650,北千住,,0,,,,
10,0,100008670,北千住,,0,,,,
10,0,100008690,北千住,,0,,,,
10,0,100008710,北千住,,0,,,,
10,0,100008730,北千住,,0,,,,
10,0,100008750,北千住,,0,,,,
10,0,100008770,北千住,,0,,,,
10,0,100008790,北千住,,0,,,,
10,0,100008810,北千住,,0,,,,
10,0,100008830,北千住,,0,,,,
10,0,100008850,北千住,,0,,,,
10,0,100008870,北千住,,0,,,,
10,0,100008890,北千住,,0,,,,
10,0,100008910,北千住,,0,,,,
10,0,100008930,北千住,,0,,,,
10,0,100008950,北千住,,0,,,,
10,0,100008970,北千住,,0,,,,
10,0,100008990,北千住,,0,,,,
10,0,100009010,北千住,,0,,,,
10,0,100009030,北千住,,0,,,,
10,0,100009050,北千住,,0,,,,
10,0,100009070,北千住,,0,,,,
10,0,100009090,北千住,,0,,,,
10,0,100009110,北千住,,0,,,,
10,0,100009130,北千住,,0,,,,
10,0,100009150,北千住,,0,,,,
10,0,100009170,北千住,,0,,,,
10,0,100009190,北千住,,0,,,,
10,0,100009210,北千住,,0,,,,
10,0,100009230,北千住,,0,,,,
10,0,100009250,北千住,,0,,,,
10,0,100009270,北千住,,0,,,,
10,0,100010010,東武日光,,0,100010010,,,
10,0,100010070,東武日光,,0,100010070,,,
10,0,100010110,東武日光,,0,100010110,,,
10,0,100010130,東武日光,,0,100010130,,,
10,0,100010150,東武日光,,0,100010150,,,
10,0,100010190,東武日光,,0,100010190,,,
10,0,100010210,東武日光,,0,100010210,,,
10,0,100010250,東武日光,,0,100010250,,,
10,0,100010270,東武日光,,0,100010270,,,
10,0,100010310,東武日光,,0,100010310,,,
10,0,100010330,東武日光,,0,100010330,,,
10,0,100010370,東武日光,,0,100010370,,,
10,0,100010430,東武日光,,0,100010430,,,
10,0,100010450,春日部,,0,,,,
10,0,100010470,東武日光,,0,100010470,,,
10,0,100010490,東武日光,,0,100010490,,,
10,0,100010510,東武日光,,0,100010510,,,
10,0,100010530,春日部,,0,,,,
10,0,100011010,会津田島,,0,100011010,,,
10,0,100011050,鬼怒川温泉,,0,100011050,,,
10,0,100011090,鬼怒川温泉,,0,100011090,,,
10,0,100011130,会津田島,,0,100011130,,,
10,0,100011190,会津田島,,0,100011190,,,
10,0,100011230,鬼怒川温泉,,0,100011230,,,
10,0,100011290,鬼怒川温泉,,0,100011290,,,
10,0,100011310,会津田島,,0,100011310,,,
10,0,100011390,鬼怒川温泉,,0,100011390,,,
10,0,100011410,鬼怒川温泉,,0,100011410,,,
10,0,100012550,新栃木,,0,100012550,,,
10,0,100013390,伊勢崎,,0,100013390,,,
10,0,100014090,太田,,0,100014090,,,
10,0,100014210,太田,,0,100014210,,,
10,0,100014250,太田,,0,100014250,,,
10,0,100014290,太田,,0,100014290,,,
10,0,100014330,太田,,0,100014330,,,
10,0,100014470,太田,,0,100014470,,,
10,0,100015490,館林,,0,100015490,,,
10,0,100016430,葛生,,0,100016430,,,
10,0,100018010,赤城,,0,100018010,,,
10,0,100018030,赤城,,0,100018030,,,
10,0,100018050,赤城,,0,100018050,,,
10,0,100018070,赤城,,0,100018070,,,
10,0,100018110,赤城,,0,100018110,,,
10,0,100018130,赤城,,0,100018130,,,
10,0,100018150,赤城,,0,100018150,,,
10,0,100018170,赤城,,0,100018170,,,
10,0,100018190,赤城,,0,100018190,,,
10,0,100018230,赤城,,0,100018230,,,
10,0,100018270,赤城,,0,100018270,,,
10,0,100018310,赤城,,0,100018310,,,
10,0,100018350,赤城,,0,100018350,,,
10,0,100018370,赤城,,0,100018370,,,
10,0,100018410,赤城,,0,100018410,,,
10,0,100018450,赤城,,0,100018450,,,
10,0,100025010,館林,,0,100025010,,,
10,0,100025030,館林,,0,100025030,,,
10,0,100025050,館林,,0,100025050,,,
10,0,100025070,館林,,0,100025070,,,
10,0,100025090,館林,,0,100025090,,,
10,0,100025110,館林,,0,100025110,,,
10,0,100025130,館林,,0,100025130,,,
10,0,100025150,館林,,0,100025150,,,
10,0,100025170,館林,,0,100025170,,,
10,0,100025190,館林,,0,100025190,,,
10,0,100025210,館林,,0,100025210,,,
10,0,100026010,南栗橋,,0,100026010,,,
10,0,100026030,南栗橋,,0,100026030,,,
10,0,100035010,館林,,0,100035010,,,
10,0,100035030,館林,,0,100035030,,,
10,0,100035050,久喜,,0,100035050,,,
10,0,100035070,館林,,0,100035070,,,
10,0,100035090,館林,,0,100035090,,,
10,0,100035110,館林,,0,100035110,,,
